Name	Feature	UTM_X	UTM_Y	Lat	Lon	row	col
VelinoCluster313	Cluster	367125	4660375	42.08421241	13.39347275	258	227
VelinoCluster314	Cluster	374875	4648375	41.97744403	13.48970206	306	258
VelinoCluster315	Cluster	391375	4657625	42.06318067	13.68709544	269	324
VelinoCluster316	Cluster	367625	4650875	41.99876755	13.40166121	296	229
VelinoCluster317	Cluster	330375	4703125	42.46190256	12.93687723	87	80
VelinoCluster318	Cluster	316125	4708125	42.50364791	12.76207627	67	23
VelinoCluster319	Cluster	343875	4707125	42.50074384	13.09989468	71	134
VelinoCluster320	Cluster	325875	4691625	42.35740606	12.88566061	133	62
VelinoCluster321	Cluster	387125	4655375	42.04232255	13.63617485	278	307
VelinoCluster322	Cluster	339875	4695875	42.39866813	13.05437752	116	118
VelinoCluster323	Cluster	342875	4653625	42.01897346	13.10223167	285	130
VelinoCluster324	Cluster	372125	4652125	42.01076536	13.45570406	291	247
VelinoCluster325	Cluster	315375	4701875	42.44722569	12.75496715	92	20
VelinoCluster326	Cluster	320125	4691375	42.35384772	12.81596675	134	39
VelinoCluster327	Cluster	369125	4661375	42.09355142	13.41742097	254	235
VelinoCluster328	Cluster	384875	4637375	41.87992295	13.61251775	350	298
VelinoCluster329	Cluster	357125	4676625	42.22874404	13.26863498	193	187
VelinoCluster330	Cluster	322125	4697625	42.41055541	12.83830424	109	47
VelinoCluster331	Cluster	332875	4682375	42.27568693	12.97328072	170	90
VelinoCluster332	Cluster	378875	4658625	42.07035677	13.53585155	265	274
VelinoCluster333	Cluster	317875	4703875	42.46581534	12.78471023	84	30
VelinoCluster334	Cluster	316875	4702875	42.45658053	12.77287468	88	26
VelinoCluster335	Cluster	364625	4655375	42.03877089	13.36441422	278	217
VelinoCluster336	Cluster	342875	4707875	42.50729209	13.08752503	68	130
VelinoCluster337	Cluster	396375	4643625	41.93779283	13.74998414	325	344
VelinoCluster338	Cluster	329375	4674125	42.20067574	12.93328827	203	76
VelinoCluster339	Cluster	358125	4660875	42.08713903	13.2845825	256	191
VelinoCluster340	Cluster	329875	4675875	42.21653555	12.93882856	196	78
VelinoCluster341	Cluster	350375	4673375	42.19822455	13.18771385	206	160
VelinoCluster342	Cluster	358125	4672875	42.19516776	13.28166327	208	191
VelinoCluster343	Cluster	388875	4644125	41.9412745	13.65944135	323	314
VelinoCluster344	Cluster	326625	4695375	42.39132354	12.89363361	118	65
VelinoCluster345	Cluster	334625	4687125	42.3188131	12.99313266	151	97
VelinoCluster346	Cluster	326125	4701125	42.44296106	12.88582465	95	63
VelinoCluster347	Cluster	343375	4707125	42.50064281	13.09381275	71	132
VelinoCluster348	Cluster	348375	4713875	42.56239633	13.15284341	44	152
VelinoCluster349	Cluster	393375	4648875	41.98466657	13.712853	304	332
VelinoCluster350	Cluster	373875	4655875	42.04481058	13.47602448	276	254
VelinoCluster351	Cluster	395125	4650125	41.99615707	13.7337504	299	339
VelinoCluster352	Cluster	379875	4649125	41.9849749	13.54988132	303	278
VelinoCluster353	Cluster	354375	4663625	42.11120861	13.23857632	245	176
VelinoCluster354	Cluster	331125	4677875	42.23480774	12.95338212	188	83
VelinoCluster355	Cluster	387625	4647125	41.96811011	13.64379335	311	309
VelinoCluster356	Cluster	344625	4668875	42.1565965	13.1193055	224	137
VelinoCluster357	Cluster	336625	4689625	42.34173707	13.01668191	141	105
